candidate_method,reference_method,metric,observed_delta,ci_95_lower,ci_95_upper,bootstrap_mean_delta,valid_iterations,bootstrap_seed,bootstrap_iterations,ci_crosses_zero,statistically_significant
learned fusion with corpus,learned fusion without corpus,auroc,-0.02989304057685782,-0.03493786860411555,-0.02442937550690573,-0.029905603573643934,2000,20260504,2000,False,True
learned fusion with corpus,learned fusion without corpus,auprc,-0.013207218032194379,-0.016573159816653527,-0.010180261010113068,-0.01326688937556125,2000,20260505,2000,False,True
learned fusion with corpus,SE-only,auroc,-0.15646274607801897,-0.16503130413309783,-0.1478891768183361,-0.1565861708349075,2000,20260504,2000,False,True
learned fusion with corpus,SE-only,auprc,-0.09351605804017488,-0.0981680080151469,-0.08872263110535307,-0.09327785152346056,2000,20260505,2000,False,True
learned fusion without corpus,SE-only,auroc,-0.12656970550116114,-0.1351266123946357,-0.1180722062977933,-0.12668056726126356,2000,20260504,2000,False,True
learned fusion without corpus,SE-only,auprc,-0.0803088400079805,-0.08445140217328427,-0.07547896589395445,-0.08001096214789931,2000,20260505,2000,False,True
learned fusion with corpus,corpus-risk-only,auroc,-0.1741372307068993,-0.19079202133125928,-0.15770731031097127,-0.17440687539785402,2000,20260504,2000,False,True
learned fusion with corpus,corpus-risk-only,auprc,-0.06227211188720422,-0.07112668260095747,-0.05314729268252469,-0.062165932019722044,2000,20260505,2000,False,True
